Sugerido por,Título,Autor,Status
GIO,Terra partida,Clare Leslie Hall,Não lido
JULIA,Assassinato do expresso oriente,Agatha Christie,Não lido
LAYANI,Daisy Jones and The Six,Taylor Jenkins Reid,Não lido
RAFA,Raízes loiras,Bernardino Evaristo,Não lido
GABI,Uma delicada coleção de ausências,Aline Bei,Não lido
FER,E não sobrou nenhum,Agatha Christie,Não lido
GIO,O Leitor,Bernhard Schlink,Não lido
LAYANI,Os Sete maridos de Evelyn Hugo,Taylor Jenkins Reid,Não lido
RAFA,"O cozer das pedras, o roer dos ossos",Patrick Torres,Não lido
GABI,Sete anos entre nós,Ashley Poston,Não lido
FER,Êxtase da transformação,Stefan Zweig,Não lido
GIO,28 chances,Mel Maryns,Não lido
RAFA,O tempo das cerejas,Montserrat Roig,Não lido
GABI,O que o vento sussurra,Amy Harmon,Não lido
FER,A outra volta do  parafuso,Henry James,Não lido
GIO,Olhai os lírios do campo,Erico Verissimo,Não lido
RAFA,Coisas presentes demais,Flávia Péret,Não lido
GIO,Os suicidas,Raphael Montes,Não lido
RAFA,Um amor incômodo,Elena Ferrante,Não lido
GIO,Imperfeitos,Christina Lauren,Não lido
RAFA,Eu sei por que o pássaro canta na gaiola,maya angelou,Não lido
GIO,A Estrada,Cormac McCarthy,Não lido
RAFA,Morangos mofados,Caio Fernando Abreu,Não lido
GIO,O avesso da pele,Jeferson Tenório,Não lido
RAFA,Proclamem nas montanhas,James Baldwin,Não lido
GIO,Agosto,Rubem Fonseca,Não lido
RAFA,Outras vidas que não a minha,Emmanuel Carrère,Não lido
GIO,Nove Noites,Bernardo Carvalho,Não lido
GIO,Rebecca,Daphne du Maurier,Não lido
